nm, %R
349.000000, 102.294100
348.000000, 102.143600
347.000000, 101.664700
346.000000, 102.006000
345.000000, 101.727500
344.000000, 101.943400
343.000000, 101.780600
342.000000, 101.871200
341.000000, 101.668700
340.000000, 101.551200
339.000000, 101.746000
338.000000, 101.450200
337.000000, 101.663200
336.000000, 101.419300
335.000000, 101.438100
334.000000, 101.306400
333.000000, 101.204400
332.000000, 101.196600
331.000000, 101.306700
330.000000, 101.529400
329.000000, 101.020500
328.000000, 101.058100
327.000000, 101.076100
326.000000, 100.848700
325.000000, 100.884800
324.000000, 100.758900
323.000000, 100.478900
322.000000, 100.709100
321.000000, 100.280400
320.000000, 100.537400
319.000000, 100.513900
318.000000, 100.488400
317.000000, 100.552800
316.000000, 100.463700
315.000000, 100.368900
314.000000, 100.421800
313.000000, 100.452100
312.000000, 100.653700
311.000000, 100.193900
310.000000, 100.280800
309.000000, 100.238300
308.000000, 100.487900
307.000000, 100.314000
306.000000, 100.376500
305.000000, 99.919700
304.000000, 100.303400
303.000000, 100.518900
302.000000, 100.673400
301.000000, 100.259100
300.000000, 100.425100
299.000000, 100.394700
298.000000, 100.596800
297.000000, 100.452100
296.000000, 100.559500
295.000000, 100.526900
294.000000, 100.282100
293.000000, 100.671500
292.000000, 100.566600
291.000000, 100.709500
290.000000, 100.887800
289.000000, 100.798700
288.000000, 100.603400
287.000000, 100.637600
286.000000, 100.562500
285.000000, 100.635300
284.000000, 100.699100
283.000000, 100.535700
282.000000, 100.826300
281.000000, 100.611900
280.000000, 100.717800
279.000000, 100.706600
278.000000, 100.493600
277.000000, 100.626000
276.000000, 100.414100
275.000000, 100.755300
274.000000, 100.527300
273.000000, 100.417400
272.000000, 100.715900
271.000000, 100.505800
270.000000, 100.642300
269.000000, 100.421800
268.000000, 100.903600
267.000000, 100.664700
266.000000, 100.375900
265.000000, 100.479600
264.000000, 100.587700
263.000000, 100.901200
262.000000, 100.428900
261.000000, 100.772800
260.000000, 100.444300
259.000000, 100.710300
258.000000, 100.733800
257.000000, 100.815200
256.000000, 100.510500
255.000000, 100.570000
254.000000, 100.768400
253.000000, 100.721500
252.000000, 100.701300
251.000000, 100.659300
250.000000, 100.549400
249.000000, 100.556100
248.000000, 100.319700
247.000000, 100.819700
246.000000, 100.654200
245.000000, 100.491500
244.000000, 100.682500
243.000000, 100.468400
242.000000, 100.569300
241.000000, 100.548200
240.000000, 100.612200
239.000000, 100.479500
238.000000, 100.449700
237.000000, 100.724900
236.000000, 100.402000
235.000000, 100.455900
234.000000, 100.577000
