nm, %R
261.000000, 98.951800
260.000000, 99.266758
259.000000, 98.906169
258.000000, 99.051560
257.000000, 98.862771
256.000000, 99.362654
255.000000, 99.128468
254.000000, 98.897373
253.000000, 98.847317
252.000000, 99.036457
251.000000, 99.121194
250.000000, 99.282741
249.000000, 99.284280
248.000000, 99.384468
247.000000, 99.033125
246.000000, 99.272658
245.000000, 99.379649
244.000000, 99.170859
243.000000, 99.439824
242.000000, 99.303267
241.000000, 99.420377
240.000000, 99.344513
239.000000, 99.478501
238.000000, 99.465006
237.000000, 99.213104
236.000000, 99.682974
235.000000, 99.371963
234.000000, 99.473041
233.000000, 99.629736
232.000000, 99.675029
231.000000, 99.630072
230.000000, 99.652714
229.000000, 99.693293
228.000000, 100.069745
227.000000, 100.087754
226.000000, 99.849582
225.000000, 100.096082
224.000000, 99.922739
223.000000, 99.919948
222.000000, 99.519357
221.000000, 99.435163
220.000000, 99.806333
219.000000, 99.886653
218.000000, 100.045425
217.000000, 99.695904
216.000000, 99.947033
215.000000, 99.943213
214.000000, 99.760661
213.000000, 99.809541
212.000000, 99.869030
211.000000, 99.983098
210.000000, 99.973805
209.000000, 99.571820
208.000000, 99.702317
207.000000, 99.898266
206.000000, 100.050202
205.000000, 99.675286
204.000000, 100.023622
203.000000, 99.571133
202.000000, 99.703271
201.000000, 99.601337
200.000000, 99.694605
