wavelength_nm,Re_eps_parallel_nominal_design,Im_eps_parallel_nominal_design,Re_eps_perpendicular_nominal_design,Im_eps_perpendicular_nominal_design,real_part_product_nominal_design,Re_eps_parallel_secondary_sensitivity,Im_eps_parallel_secondary_sensitivity,Re_eps_perpendicular_secondary_sensitivity,Im_eps_perpendicular_secondary_sensitivity,real_part_product_secondary_sensitivity
278.704742,-1.241476193239417,1.8093656462991667,7.156659503823445,1.2476221436764303,-8.884822397117425,-2.1192821615409434,2.159360075701353,9.018944624720186,2.466588838974624,-19.11368845909507
280.287537,-1.2784650483685838,1.8188714158550001,7.139154434321224,1.2227702560600162,-9.127159419185272,-2.1629519110170947,2.1707045926648916,8.997366981207389,2.413842281389564,-19.46087210612463
281.870422,-1.3156778062770838,1.828963978,7.122359922595109,1.1988084097759508,-9.370730878475753,-2.206969068174084,2.1827494083725534,8.97612634452699,2.362892743563136,-19.81003319439358
283.453308,-1.3532268026410839,1.8397137351850001,7.105182062511006,1.1754342260924395,-9.614922804634551,-2.2513876257884124,2.195578543564907,8.953781347877566,2.3130818100775827,-20.158432530626644
285.036194,-1.3909467931759998,1.851111033374167,7.087679631506583,1.1527408223363083,-9.858585254502932,-2.2960096740665823,2.2091804767788426,8.93043504823686,2.2646183497946923,-20.5043652643751
286.619171,-1.4287280839560836,1.8630853668375,7.069965957590023,1.1307729516188758,-10.101058916222332,-2.340705703668956,2.22347106401683,8.906299606551942,2.2176248925728177,-20.847026287640706
288.202118,-1.4665056567427508,1.8755672513875,7.052103986453363,1.1095337928193552,-10.341950388071961,-2.385396716778488,2.238367380425795,8.88152281992205,2.1721335652172744,-21.18595537463528
289.785156,-1.5042279969493342,1.8884940927550002,7.034172215095117,1.0890210888544933,-10.580998781309189,-2.430021935590846,2.253794723821531,8.856268757155657,2.1281609239423815,-21.520927347376126
291.368195,-1.5418643190854173,1.9018071379175003,7.016228947695556,1.069216914528145,-10.818073068986003,-2.4745446196279217,2.269682976297591,8.83067105305754,2.085687203939721,-21.85188954204757
292.951263,-1.579388278837667,1.9154445328433334,6.998319047780772,1.0500974822264855,-11.053063075631334,-2.5189326282540554,2.2859583190950237,8.804842524729183,2.04467799160001,-22.178805122179156
294.534363,-1.6167821155,1.9293551394133333,6.980502807288905,1.031640825802782,-11.285952096022244,-2.5631661662669067,2.302559722198639,8.778909147708458,2.005098870693963,-22.501802904137364
296.117493,-1.6540386889314165,1.9434873586141665,6.962798602047075,1.0138125762571242,-11.516738271023442,-2.6072353117645557,2.319425605546075,8.75293766563956,1.966887337281859,-22.820968163529482
297.700684,-1.6911569119485823,1.95779172381,6.945246309531617,0.9965818280867516,-11.745501301549778,-2.6511394676776883,2.3364969339286565,8.727019211260536,1.929986663249164,-23.136545066154216
299.283875,-1.7281326719264993,1.9722272582099998,6.927869708598722,0.9799197725255957,-11.972277990279368,-2.694873725856178,2.35372480421487,8.701216785447665,1.8943413493285255,-23.448680498081664
300.867096,-1.7648579630243335,1.98674706345,6.911199631794729,0.9639369288234648,-12.19728570422377,-2.738347651786742,2.371053246261034,8.67626273390885,1.8601871420617282,-23.758623683684117
302.450348,-1.801361079524751,2.0013123020166668,6.8951724744461,0.9485720849091198,-12.420695332077575,-2.781589387075184,2.3884359100240258,8.652098115844248,1.82739726595814,-24.06658429496556
304.03363,-1.8377509563800007,2.0158878766058335,6.8793550851077985,0.9336682179014224,-12.642541386934479,-2.824695361450319,2.4058309091568044,8.62817151935849,1.7956449575916196,-24.37195606852968
305.616943,-1.87404500988975,2.030435447091667,6.863767030906187,0.9191952949627465,-12.863008353315527,-2.8676870594774995,2.4231924872158395,8.604528830883591,1.7648695813434134,-24.675095981225933
307.200287,-1.9102689877060834,2.044925726905,6.848412372245133,0.9051212060240382,-13.082309769722528,-2.9105952093028415,2.440485692587928,8.581190750155614,1.7350047039318697,-24.976372687516786
308.783661,-1.9464544942380833,2.0593380396875,6.833280986855636,0.8914130877589436,-13.300670487256797,-2.9534568302783977,2.457685849385812,8.558155085565996,1.7059811386389534,-25.276141592046695
310.367065,-1.9826109394044178,2.0736611694000002,6.818387929363374,0.878055002557927,-13.518210497858863,-2.9962845496123833,2.474779571997119,8.535448556469374,1.6777629279393653,-25.57463263376051
311.9505,-2.018763567796083,2.08788041285,6.803720744552049,0.8650207013526449,-13.735103564560115,-3.0391077964493736,2.4917493131190467,8.513061740359083,1.6502936563518855,-25.87211230678016
